City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Kavieng,PG,2020-07-07 01:14:19,-2.57,150.8,84.81,73,64,13.31
137,Mangai,CD,2020-07-07 01:14:19,-4.05,19.53,73.18,57,100,1.7
138,Diffa,NE,2020-07-07 01:14:20,13.32,12.61,85.08,53,69,12.01
139,Carutapera,BR,2020-07-07 01:14:20,-1.2,-46.02,76.3,90,55,4.9
140,Touros,BR,2020-07-07 01:14:20,-5.2,-35.46,73.4,94,75,2.24
141,Tefe,BR,2020-07-07 01:14:20,-3.35,-64.71,73.87,97,66,2.59
142,Dalian,CN,2020-07-07 01:11:21,38.91,121.6,73.4,83,75,6.71
143,Isangel,VU,2020-07-07 01:14:20,-19.55,169.27,73.4,73,90,6.93
144,Tete,MZ,2020-07-07 01:14:20,-16.16,33.59,60.8,72,88,3.51
145,Solnechnyy,RU,2020-07-07 01:14:21,50.72,136.63,57.72,84,100,5.93
146,Tasiilaq,GL,2020-07-07 01:13:41,65.61,-37.64,39.2,86,0,5.82
147,Cape Town,ZA,2020-07-07 01:10:33,-33.93,18.42,59.0,67,75,10.29
148,Antalaha,MG,2020-07-07 01:14:21,-14.9,50.28,71.31,91,100,13.49
149,Severo-Kurilsk,RU,2020-07-07 01:14:21,50.68,156.12,56.46,77,19,7.56
150,Jinji,CN,2020-07-07 01:14:21,23.23,110.83,84.9,76,100,6.2
151,Roald,NO,2020-07-07 01:14:22,62.58,6.13,48.2,76,91,5.82
152,Rafraf,TN,2020-07-07 01:14:22,37.19,10.18,75.2,60,0,16.11
153,Raton,US,2020-07-07 01:10:06,36.9,-104.44,84.2,20,1,7.45
154,Bilma,NE,2020-07-07 01:13:59,18.69,12.92,88.23,13,16,8.46
155,Grindavik,IS,2020-07-07 01:14:22,63.84,-22.43,46.4,93,73,8.05
156,Praxedis Guerrero,MX,2020-07-07 01:14:22,31.37,-106.02,96.8,20,75,20.8
157,Yandyki,RU,2020-07-07 01:14:22,45.77,47.13,77.86,52,0,8.84
158,Erpeli,RU,2020-07-07 01:14:22,42.81,46.98,68.0,72,0,11.18
159,Cabo San Lucas,MX,2020-07-07 01:14:12,22.89,-109.91,95.0,51,40,16.11
160,Oshogbo,NG,2020-07-07 01:14:22,7.77,4.57,72.5,97,100,5.1
161,Bojnurd,IR,2020-07-07 01:14:22,37.47,57.33,55.4,43,0,2.24
162,Ponta Do Sol,PT,2020-07-07 01:14:23,32.67,-17.1,69.8,88,20,2.24
163,Ouesso,CG,2020-07-07 01:14:23,1.61,16.05,70.93,93,100,2.59
164,Clyde River,CA,2020-07-07 01:13:29,70.47,-68.59,41.0,86,90,10.29
165,Nouadhibou,MR,2020-07-07 01:14:23,20.93,-17.03,68.0,94,0,4.7
166,Rocha,UY,2020-07-07 01:14:23,-34.48,-54.33,41.38,92,2,4.12
167,Camacha,PT,2020-07-07 01:14:23,33.08,-16.33,69.8,77,75,12.75
168,Palmer,US,2020-07-07 01:14:23,42.16,-72.33,73.99,94,90,6.29
169,Kot Radha Kishan,PK,2020-07-07 01:14:23,31.17,74.1,86.0,70,40,4.7
170,Mount Gambier,AU,2020-07-07 01:14:23,-37.83,140.77,50.0,87,90,4.7
171,Nehe,CN,2020-07-07 01:14:24,48.48,124.83,70.75,51,0,10.45
172,Greenville,US,2020-07-07 01:14:16,35.61,-77.37,82.4,69,1,9.17
173,Jardanhaza,HU,2020-07-07 01:14:24,48.15,20.25,61.57,91,100,2.44
174,Castro,BR,2020-07-07 01:14:24,-24.79,-50.01,59.99,96,85,4.52
175,Romitan,UZ,2020-07-07 01:14:24,39.93,64.38,66.2,52,0,9.17
176,Coari,BR,2020-07-07 01:10:48,-4.08,-63.14,74.25,95,11,3.42
177,Cayenne,GF,2020-07-07 01:14:24,4.93,-52.33,77.0,100,20,2.24
178,Lompoc,US,2020-07-07 01:10:37,34.64,-120.46,66.2,59,0,14.99
179,Coihaique,CL,2020-07-07 01:14:25,-45.58,-72.07,26.6,100,88,2.44
180,Fomboni,KM,2020-07-07 01:14:25,-12.28,43.74,77.7,79,8,20.96
181,Amazar,RU,2020-07-07 01:14:25,53.86,120.88,69.19,38,90,4.9
182,Ojinaga,MX,2020-07-07 01:14:25,29.57,-104.42,96.8,19,1,11.41
183,Mahebourg,MU,2020-07-07 01:14:25,-20.41,57.7,73.4,94,75,8.05
184,Kletskaya,RU,2020-07-07 01:14:25,49.31,43.06,77.32,28,12,8.97
185,Kavaratti,IN,2020-07-07 01:14:01,10.57,72.64,83.84,77,100,19.62
186,Nieuw Amsterdam,SR,2020-07-07 01:14:25,5.88,-55.08,77.0,88,40,8.93
187,Sur,OM,2020-07-07 01:14:25,22.57,59.53,89.02,65,88,5.39
188,Whitley Bay,GB,2020-07-07 01:14:26,55.04,-1.45,51.01,81,99,12.75
189,Port Blair,IN,2020-07-07 01:14:26,11.67,92.75,83.01,81,100,9.53
190,Sosnovo-Ozerskoye,RU,2020-07-07 01:14:26,52.52,111.54,70.66,41,15,5.59
191,Gorontalo,ID,2020-07-07 01:14:26,0.54,123.06,84.02,68,0,5.44
192,Zhongshu,CN,2020-07-07 01:14:26,24.52,103.77,68.88,84,100,8.03
193,Athabasca,CA,2020-07-07 01:14:26,54.72,-113.29,68.18,70,41,7.61
194,Quatre Cocos,MU,2020-07-07 01:14:26,-20.21,57.76,73.4,94,75,8.05
195,Pangnirtung,CA,2020-07-07 01:14:26,66.15,-65.71,44.17,75,42,0.83
196,Mecca,SA,2020-07-07 01:11:35,21.43,39.83,84.2,21,27,6.55
197,Port-Cartier,CA,2020-07-07 01:14:27,50.03,-66.87,59.0,82,40,4.7
198,Kununurra,AU,2020-07-07 01:14:27,-15.77,128.73,71.6,22,0,18.34
199,Male,MV,2020-07-07 01:14:27,4.17,73.51,80.6,83,75,8.7
200,Roma,US,2020-07-07 01:10:20,43.21,-75.46,84.2,48,1,5.82
201,Luganville,VU,2020-07-07 01:14:27,-15.53,167.17,78.55,79,99,14.9
202,Bambous Virieux,MU,2020-07-07 01:14:27,-20.34,57.76,73.4,94,75,8.05
203,San Rafael,AR,2020-07-07 01:14:27,-34.62,-68.33,44.01,61,93,6.96
204,Morant Bay,JM,2020-07-07 01:09:38,17.88,-76.41,86.0,70,20,17.22
205,Adeje,ES,2020-07-07 01:14:28,28.12,-16.73,77.0,83,0,2.24
206,Cherskiy,RU,2020-07-07 01:13:15,68.75,161.3,65.17,47,62,16.98
207,Karpogory,RU,2020-07-07 01:14:28,64.0,44.45,58.03,87,0,5.64
208,Cidreira,BR,2020-07-07 01:13:24,-30.18,-50.21,57.09,73,100,11.23
209,Hasaki,JP,2020-07-07 01:14:28,35.73,140.83,84.2,74,75,20.8
210,Ust-Kuyga,RU,2020-07-07 01:14:28,70.02,135.6,53.08,69,100,8.77
211,Fukue,JP,2020-07-07 01:14:28,32.69,128.84,75.2,100,75,16.11
212,Xuddur,SO,2020-07-07 01:14:28,4.12,43.89,70.21,79,97,17.27
213,Ordzhonikidze,KZ,2020-07-07 01:14:13,52.44,61.74,64.94,83,49,2.01
214,Garden City,US,2020-07-07 01:14:29,42.33,-83.33,84.99,51,40,4.7
215,Tura,IN,2020-07-07 01:14:29,25.52,90.22,78.58,87,65,5.73
216,Kushmurun,KZ,2020-07-07 01:14:29,52.45,64.63,64.06,86,4,2.75
217,Ewa Beach,US,2020-07-07 01:12:35,21.32,-158.01,87.8,45,20,8.05
218,Leningradskiy,RU,2020-07-07 01:14:29,69.38,178.42,46.65,75,100,5.99
219,Paidha,UG,2020-07-07 01:14:29,2.42,30.99,60.48,92,98,6.08
220,Ongandjera,NA,2020-07-07 01:14:29,-17.88,15.07,56.07,34,0,6.82
221,Saint-Philippe,RE,2020-07-07 01:13:06,-21.36,55.77,68.0,100,90,5.82
222,Erenhot,CN,2020-07-07 01:14:30,43.65,111.98,75.51,33,0,10.27
223,Flinders,AU,2020-07-07 01:14:30,-34.58,150.86,59.0,66,0,8.01
224,Bathsheba,BB,2020-07-07 01:14:30,13.22,-59.52,78.8,88,75,16.11
225,Yiannouli,GR,2020-07-07 01:14:30,39.67,22.38,75.0,83,40,2.62
226,Ribeira Grande,PT,2020-07-07 01:13:16,38.52,-28.7,68.47,88,0,10.76
227,Chuy,UY,2020-07-07 01:14:30,-33.7,-53.46,45.14,85,83,5.59
228,Port Elizabeth,ZA,2020-07-07 01:14:30,-33.92,25.57,60.8,82,52,25.28
229,Hualmay,PE,2020-07-07 01:14:30,-11.1,-77.61,60.69,84,33,10.18
230,Torbay,CA,2020-07-07 01:14:30,47.67,-52.73,50.0,87,75,3.36
231,Dumas,US,2020-07-07 01:14:31,35.87,-101.97,88.0,37,1,5.82
232,Asau,RO,2020-07-07 01:14:31,46.43,26.4,64.0,82,41,4.5
233,Saint Marys,US,2020-07-07 01:13:18,30.73,-81.55,77.0,85,1,5.82
234,Tikrit,IQ,2020-07-07 01:14:31,34.61,43.68,90.27,21,0,12.15
235,Dunedin,NZ,2020-07-07 01:13:57,-45.87,170.5,46.99,74,100,8.01
236,Beawar,IN,2020-07-07 01:14:31,26.1,74.32,82.78,68,83,7.65
237,Sinnamary,GF,2020-07-07 01:14:31,5.38,-52.95,78.3,87,7,8.43
238,Cockburn Town,TC,2020-07-07 01:13:56,21.46,-71.14,83.46,78,0,19.86
