City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
297,Ostrovnoy,RU,68.05,39.51,58.23,68,99,13.15,overcast clouds,0.0,0
298,Prozor,BA,43.82,17.61,60.8,93,0,3.36,clear sky,0.0,0
299,La Ronge,CA,55.1,-105.28,75.2,47,40,5.82,scattered clouds,0.0,0
300,Sept-Iles,CA,50.2,-66.38,60.01,93,90,4.7,moderate rain,0.0,0
301,Pangai,TO,-19.8,-174.35,78.8,83,75,9.17,broken clouds,0.0,0
302,Hit,IQ,33.64,42.83,91.02,18,0,15.93,clear sky,0.0,0
303,Shelburne,CA,44.08,-80.2,78.8,74,1,6.31,clear sky,0.0,0
304,Porto Novo,BJ,6.5,2.6,75.45,88,100,8.14,overcast clouds,0.0,0
305,Ordynskoye,RU,54.37,81.9,66.9,77,13,3.74,few clouds,0.0,0
306,Hovd,MN,48.01,91.64,65.5,43,40,2.44,scattered clouds,0.0,0
307,Coari,BR,-4.08,-63.14,75.02,87,49,2.71,scattered clouds,0.0,0
308,Talnakh,RU,69.49,88.4,55.4,76,0,6.71,clear sky,0.0,0
309,Lazaro Cardenas,MX,17.96,-102.2,82.47,78,100,19.51,light rain,0.0,0
310,Northam,GB,51.03,-4.22,59.0,100,100,13.0,light rain,0.0,0
